"PHAS1202","PHAS1224","PHAS1228","PHAS1240","PHAS1241","PHAS1245","PHAS1246","PHAS1247"
"84","64","79","79","71","77","95","65"
"40","24","38","70","61","31","54","19"
"58","54","67","59","77","70","80","70"
"DA","DA","DA","52","72","DA","DA","DA"
"62","46","73","36","71","60","79","48"
"47","47","72","74","83","40","41","42"
"66","48","72","68","64","62","72","56"
"74","52","80","65","76","73","91","51"
"57","56","73","82","68","47","63","48"
"73","61","70","72","69","83","77","58"
"90","72","88","86","0","92","93","71"
"70","46","75","78","50","58","65","42"
"64","52","59","78","61","52","59","45"
"75","65","63","75","75","79","85","64"
"56","32","50","52","58","47","63","38"
"86","72","81","77","64","89","82","54"
"71","69","72","75","83","82","80","78"
"0","0","0","0","70","0","0","0"
"55","47","63","70","68","66","74","56"
"70","43","60","73","76","40","52","49"
"66","44","66","69","61","61","74","58"
"54","45","72","59","73","73","83","60"
"67","37","59","61","72","58","70","50"
"72","61","68","75","70","54","73","53"
"60","37","71","55","74","50","68","45"
"55","57","72","58","0","53","83","55"
"49","40","56","76","66","46","62","32"
"57","35","64","72","77","50","48","41"
"65","44","68","69","0","59","71","38"
"79","59","86","78","0","79","87","55"
"75","51","76","64","44","69","68","53"
"72","75","85","73","74","68","77","54"
"57","42","56","64","62","43","66","44"
"80","79","90","77","81","88","84","76"
"60","21","54","55","71","42","63","42"
"78","30","32","73","0","53","57","45"
"69","59","76","31","52","83","69","50"
"79","56","80","75","68","69","76","48"
"65","30","72","64","78","36","27","50"
"44","0","0","14","92","56","45","0"
"58","48","45","64","68","59","57","41"
"55","48","62","63","73","73","64","63"
"74","43","63","81","74","70","75","44"
"0","0","0","0","74","0","0","0"
"0","0","0","0","49","0","0","0"
"70","58","79","67","78","86","90","57"
"56","37","58","74","67","50","65","45"
"43","23","50","40","75","59","57","36"
"81","67","85","76","57","75","81","55"
"65","40","60","67","61","47","73","38"
"61","60","76","80","75","56","86","50"
"69","50","55","71","0","41","51","31"
"84","79","98","80","71","84","92","72"
"0","0","0","26","62","0","0","0"
"70","43","63","64","36","47","77","60"
"59","49","59","71","53","72","7","0"
"86","60","76","76","66","59","83","48"
"60","63","65","57","77","77","83","59"
"73","46","74","77","57","71","83","49"
"72","61","84","85","73","67","92","56"
"76","67","88","74","78","76","86","61"
"89","83","96","79","72","93","97","82"
"79","58","74","78","63","56","72","54"
"80","66","88","71","76","83","89","58"
"89","64","86","74","74","86","83","62"
"48","30","53","60","75","43","62","23"
"63","26","50","67","77","50","57","37"
"0","0","0","0","69","0","0","0"
"77","65","81","71","0","75","88","55"
"70","41","61","67","66","54","64","53"
"47","40","76","63","77","53","60","42"
"70","63","72","65","77","88","87","54"
"56","33","45","57","80","33","43","40"
"70","44","77","75","64","58","67","DA"
"41","28","60","74","37","54","40","41"
"0","0","0","34","54","0","0","0"
"60","61","61","71","57","54","79","62"
"59","30","67","69","76","63","77","43"
"62","54","77","37","77","51","71","43"
"70","43","63","68","68","59","73","49"
"59","51","63","70","74","57","65","48"
"56","53","78","74","79","37","64","51"
"45","36","28","62","84","46","30","40"
"60","44","68","71","59","60","62","40"
"71","67","87","27","52","70","88","56"
"46","45","60","59","47","28","50","37"
"77","52","81","74","65","65","82","60"
"74","70","85","72","67","68","88","46"
"58","30","57","68","72","58","76","48"
"64","37","80","69","84","64","78","48"
"47","37","45","59","75","48","42","36"
"78","66","76","73","72","55","85","63"
"61","47","73","67","68","50","51","40"
"68","58","81","68","77","67","71","60"
"77","67","88","69","67","73","85","49"
"78","58","80","85","57","64","82","49"
"44","23","47","78","0","40","51","32"
"56","40","55","69","78","65","70","35"
"73","45","71","60","77","71","69","40"
"69","52","79","80","83","67","70","55"
"63","53","64","77","65","78","76","48"
"77","79","93","77","66","92","92","65"
"82","61","86","72","67","87","93","69"
"68","52","63","76","69","53","64","46"
"54","19","25","65","76","28","46","26"
"64","45","61","49","51","61","64","46"
"55","44","68","56","71","52","62","36"
"66","38","60","61","65","54","60","37"
"57","46","33","66","78","61","64","34"
"71","44","71","66","67","53","71","37"
"63","53","69","70","68","57","61","46"
"76","70","88","80","73","75","86","69"
"73","41","71","64","63","62","64","41"
"72","40","80","72","61","71","78","46"
"69","51","66","67","62","62","71","46"
"82","76","82","86","63","88","91","61"
"72","60","77","80","64","55","60","57"
"76","77","91","77","83","77","87","63"
"83","78","89","71","59","85","96","74"
"55","18","41","51","44","32","45","35"
"40","34","57","54","41","62","73","31"
"59","43","66","57","","54","67","47"
"69","62","79","66","","84","92","58"
"16","34","11","59","","35","0","10"
"36","48","60","48","","71","73","36"
"71","57","83","83","","47","71","55"
"56","36","58","64","","56","54","42"
"68","77","75","61","","83","81","52"
"68","49","48","80","","56","69","34"
"49","35","58","69","","46","57","38"
"76","57","78","69","","74","79","51"
"76","60","77","70","","43","71","53"
"73","77","87","71","","92","86","69"
"82","42","78","74","","66","86","54"
"73","45","80","77","","59","76","46"
"58","22","38","62","","24","38","35"
"54","26","50","57","","59","53","70"
"66","63","85","81","","80","79","0"
"0","0","0","56","","0","5","77"
"81","66","91","72","","95","95","53"
"81","78","94","56","","66","73","75"
"77","70","86","81","","73","92","81"
"91","80","92","89","","86","97","41"
"74","68","68","69","","65","65","67"
"84","55","87","73","","84","96","35"
"69","56","68","70","","70","78","50"
"69","52","78","70","","70","79","49"
"72","57","64","85","","56","65","64"
"70","43","70","58","","64","75","34"
"68","47","34","73","","60","71","51"
"77","48","79","63","","66","79","31"
"47","34","60","69","","47","52","45"
"73","59","77","74","","62","83","32"
"48","31","19","54","","66","75","35"
"74","41","75","71","","56","66","28"
"45","25","31","67","","36","51","35"
"67","10","14","78","","48","44","45"
"51","33","62","62","","52","67","68"
"71","65","80","75","","81","92","52"
"68","42","73","74","","64","82","68"
"80","72","84","66","","84","87","36"
"62","37","47","47","","40","52","65"
"73","0","74","67","","78","92","18"
"43","19","45","66","","40","67","53"
"66","44","75","68","","68","78","45"
"56","65","60","63","","42","62","36"
"53","48","66","48","","48","79","30"
"49","41","58","27","","53","65","57"
"61","46","40","52","","43","63",""
