cand,phas1901,module1,mark1,module2,mark2,module3,mark3,module4,mark4,module5,mark5,module6,mark6,module7,mark7,module8,mark8,outcome
NGBS1,75,PHAS1246,95,PHAS1202,84,PHAS1228,79,PHAS1240,79,PHAS1245,77,PHAS1449,68,PHAS1247,65,PHAS1224,64,P
NGHJ4,79,PHAS1241,71,PHAS1240,70,PHAS1246,54,PHAS1202,40,PHAS1228,38,PHAS1245,31,PHAS1224,24,PHAS1247,19,>>
NHBR1,36,PHAS1246,80,PHAS1245,70,PHAS1247,70,PHAS1228,67,PHAS1241,61,PHAS1240,59,PHAS1202,58,PHAS1224,54,P
NHJB9,59,PHAS1449,69,PHAS1240,52,PHAS1246,DA,PHAS1202,DA,PHAS1224,DA,PHAS1228,DA,PHAS1245,DA,PHAS1247,DA,>?
NHMJ8,59,PHAS1130,80,PHAS1246,79,PHAS1228,73,PHAS1202,62,PHAS1245,60,PHAS1247,48,PHAS1224,46,PHAS1240,36,P
NJSS1,70,PHAS1241,77,PHAS1240,74,PHAS1228,72,PHAS1202,47,PHAS1224,47,PHAS1247,42,PHAS1246,41,PHAS1245,40,P
NJWZ0,73,PHAS1228,72,PHAS1241,72,PHAS1246,72,PHAS1240,68,PHAS1202,66,PHAS1245,62,PHAS1247,56,PHAS1224,48,P
NJYT4,68,PHAS1246,91,PHAS1449,84,PHAS1228,80,PHAS1202,74,PHAS1245,73,PHAS1240,65,PHAS1224,52,PHAS1247,51,P
NKQS2,60,PHAS1240,82,PHAS1228,73,PHAS1241,71,PHAS1246,63,PHAS1202,57,PHAS1224,56,PHAS1247,48,PHAS1245,47,P
NLDK2,55,PHAS1245,83,PHAS1246,77,PHAS1202,73,PHAS1240,72,PHAS1228,70,PHAS1449,70,PHAS1224,61,PHAS1247,58,P
NLPK0,61,PHAS1246,93,PHAS1245,92,PHAS1202,90,PHAS1228,88,PHAS1240,86,PHAS1241,83,PHAS1224,72,PHAS1247,71,P
NLPS2,66,PHAS1240,78,PHAS1228,75,PHAS1202,70,PHAS1246,65,PHAS1241,64,PHAS1245,58,PHAS1224,46,PHAS1247,42,P
NLTS8,70,PHAS1240,78,PHAS1241,76,PHAS1202,64,PHAS1228,59,PHAS1246,59,PHAS1224,52,PHAS1245,52,PHAS1247,45,P
NLWB2,74,PHAS1246,85,PHAS1245,79,PHAS1202,75,PHAS1240,75,PHAS1241,68,PHAS1224,65,PHAS1247,64,PHAS1228,63,P
NMLX0,67,PHAS1130,71,PHAS1246,63,PHAS1202,56,PHAS1240,52,PHAS1228,50,PHAS1245,47,PHAS1247,38,PHAS1224,32,>?
NNYK9,66,PHAS1245,89,PHAS1130,87,PHAS1202,86,PHAS1246,82,PHAS1228,81,PHAS1240,77,PHAS1224,72,PHAS1247,54,P
NPCK9,55,PHAS1245,82,PHAS1246,80,PHAS1247,78,PHAS1240,75,PHAS1228,72,PHAS1202,71,PHAS1224,69,PHAS1241,69,P
NPPS8,0,PHAS1202,0,PHAS1224,0,PHAS1228,0,PHAS1240,0,PHAS1241,0,PHAS1245,0,PHAS1246,0,PHAS1247,0,>>
NPQS7,67,PHAS1246,74,PHAS1240,70,PHAS1245,66,PHAS1228,63,PHAS1247,56,PHAS1202,55,PHAS1241,50,PHAS1224,47,P
NQQR7,68,PHAS1240,73,PHAS1202,70,PHAS1241,61,PHAS1228,60,PHAS1246,52,PHAS1247,49,PHAS1224,43,PHAS1245,40,P
NRHK2,65,PHAS1241,75,PHAS1246,74,PHAS1240,69,PHAS1202,66,PHAS1228,66,PHAS1245,61,PHAS1247,58,PHAS1224,44,P
NRJS2,37,PHAS1246,83,PHAS1245,73,PHAS1228,72,PHAS1247,60,PHAS1240,59,PHAS1241,58,PHAS1202,54,PHAS1224,45,P
NRMS9,65,PHAS1246,70,PHAS1202,67,PHAS1240,61,PHAS1228,59,PHAS1245,58,PHAS1247,50,PHAS1449,50,PHAS1224,37,P
NSGJ3,69,PHAS1130,82,PHAS1240,75,PHAS1246,73,PHAS1202,72,PHAS1228,68,PHAS1224,61,PHAS1245,54,PHAS1247,53,P
NSHJ2,65,PHAS1228,71,PHAS1246,68,PHAS1202,60,PHAS1130,57,PHAS1240,55,PHAS1245,50,PHAS1247,45,PHAS1224,37,P
NSQJ3,46,PHAS1246,83,PHAS1228,72,PHAS1241,64,PHAS1240,58,PHAS1224,57,PHAS1202,55,PHAS1247,55,PHAS1245,53,P
NTKZ2,78,PHAS1241,83,PHAS1240,76,PHAS1246,62,PHAS1228,56,PHAS1202,49,PHAS1245,46,PHAS1224,40,PHAS1247,32,P
NTTB7,75,PHAS1240,72,PHAS1241,70,PHAS1228,64,PHAS1202,57,PHAS1245,50,PHAS1246,48,PHAS1247,41,PHAS1224,35,P
NVML2,57,PHAS1246,71,PHAS1240,69,PHAS1228,68,PHAS1241,68,PHAS1202,65,PHAS1245,59,PHAS1224,44,PHAS1247,38,P
NVQB8,67,PHAS1246,87,PHAS1228,86,PHAS1202,79,PHAS1245,79,PHAS1240,78,PHAS1241,76,PHAS1224,59,PHAS1247,55,P
NWQB7,64,PHAS1228,76,PHAS1202,75,PHAS1245,69,PHAS1246,68,PHAS1240,64,PHAS1241,61,PHAS1247,53,PHAS1224,51,P
NXHS8,72,PHAS1228,85,PHAS1449,78,PHAS1246,77,PHAS1224,75,PHAS1240,73,PHAS1202,72,PHAS1245,68,PHAS1247,54,P
NXJK4,62,PHAS1241,73,PHAS1246,66,PHAS1240,64,PHAS1202,57,PHAS1228,56,PHAS1247,44,PHAS1245,43,PHAS1224,42,P
NYDD6,65,PHAS1228,90,PHAS1245,88,PHAS1246,84,PHAS1202,80,PHAS1224,79,PHAS1240,77,PHAS1247,76,PHAS1241,72,P
NYLL0,66,PHAS1130,65,PHAS1246,63,PHAS1202,60,PHAS1240,55,PHAS1228,54,PHAS1245,42,PHAS1247,42,PHAS1224,21,P
NZRK4,62,PHAS1202,78,PHAS1240,73,PHAS1241,70,PHAS1246,57,PHAS1245,53,PHAS1247,45,PHAS1228,32,PHAS1224,30,>?
NZRS6,31,PHAS1245,83,PHAS1228,76,PHAS1202,69,PHAS1246,69,PHAS1224,59,PHAS1247,50,PHAS1449,46,PHAS1240,31,P
NZVS2,80,PHAS1228,80,PHAS1202,79,PHAS1246,76,PHAS1240,75,PHAS1241,74,PHAS1245,69,PHAS1224,56,PHAS1247,48,P
NZXS0,70,PHAS1228,72,PHAS1202,65,PHAS1240,64,PHAS1247,50,PHAS1130,45,PHAS1245,36,PHAS1224,30,PHAS1246,27,>?
PBJM2,52,PHAS1245,56,PHAS1246,45,PHAS1202,44,PHAS1240,14,PHAS1224,0,PHAS1228,0,PHAS1241,0,PHAS1247,0,WD
PBYL8,74,PHAS1241,66,PHAS1240,64,PHAS1245,59,PHAS1202,58,PHAS1246,57,PHAS1224,48,PHAS1228,45,PHAS1247,41,P
PCFK7,49,PHAS1245,73,PHAS1130,66,PHAS1246,64,PHAS1240,63,PHAS1247,63,PHAS1228,62,PHAS1202,55,PHAS1224,48,P
PCLM9,68,PHAS1240,81,PHAS1241,77,PHAS1246,75,PHAS1202,74,PHAS1245,70,PHAS1228,63,PHAS1247,44,PHAS1224,43,P
PCPT8,0,PHAS1202,0,PHAS1224,0,PHAS1228,0,PHAS1240,0,PHAS1241,0,PHAS1245,0,PHAS1246,0,PHAS1247,0,>>
PCWR3,0,PHAS1202,0,PHAS1224,0,PHAS1228,0,PHAS1240,0,PHAS1241,0,PHAS1245,0,PHAS1246,0,PHAS1247,0,>>
PCZZ2,58,PHAS1246,90,PHAS1245,86,PHAS1449,81,PHAS1228,79,PHAS1202,70,PHAS1240,67,PHAS1224,58,PHAS1247,57,P
PDRB3,67,PHAS1240,74,PHAS1130,66,PHAS1246,65,PHAS1228,58,PHAS1202,56,PHAS1245,50,PHAS1247,45,PHAS1224,37,P
PDTR5,55,PHAS1245,59,PHAS1246,57,PHAS1228,50,PHAS1241,44,PHAS1202,43,PHAS1240,40,PHAS1247,36,PHAS1224,23,>?
PDWS1,64,PHAS1228,85,PHAS1202,81,PHAS1246,81,PHAS1240,76,PHAS1245,75,PHAS1241,74,PHAS1224,67,PHAS1247,55,P
PDXS0,67,PHAS1246,73,PHAS1240,67,PHAS1202,65,PHAS1241,62,PHAS1228,60,PHAS1245,47,PHAS1224,40,PHAS1247,38,P
PDZR9,78,PHAS1246,86,PHAS1241,81,PHAS1240,80,PHAS1228,76,PHAS1202,61,PHAS1224,60,PHAS1245,56,PHAS1247,50,P
PFGR6,64,PHAS1240,71,PHAS1241,71,PHAS1202,69,PHAS1228,55,PHAS1246,51,PHAS1224,50,PHAS1245,41,PHAS1247,31,P
PFLT9,77,PHAS1228,98,PHAS1246,92,PHAS1449,88,PHAS1202,84,PHAS1245,84,PHAS1240,80,PHAS1224,79,PHAS1247,72,P
PFSR4,40,PHAS1240,26,PHAS1202,0,PHAS1224,0,PHAS1228,0,PHAS1241,0,PHAS1245,0,PHAS1246,0,PHAS1247,0,>>
PFWS9,67,PHAS1246,77,PHAS1202,70,PHAS1240,64,PHAS1228,63,PHAS1247,60,PHAS1241,52,PHAS1245,47,PHAS1224,43,P
PFXC4,51,PHAS1449,77,PHAS1245,72,PHAS1240,71,PHAS1202,59,PHAS1228,59,PHAS1224,49,PHAS1246,7,PHAS1247,0,>>
PHQS3,71,PHAS1202,86,PHAS1246,83,PHAS1130,79,PHAS1228,76,PHAS1240,76,PHAS1224,60,PHAS1245,59,PHAS1247,48,P
PHXB3,44,PHAS1246,83,PHAS1245,77,PHAS1241,68,PHAS1228,65,PHAS1224,63,PHAS1202,60,PHAS1247,59,PHAS1240,57,P
PJJS8,79,PHAS1246,83,PHAS1241,78,PHAS1240,77,PHAS1228,74,PHAS1202,73,PHAS1245,71,PHAS1247,49,PHAS1224,46,P
PJNS4,67,PHAS1241,92,PHAS1246,92,PHAS1240,85,PHAS1228,84,PHAS1202,72,PHAS1245,67,PHAS1224,61,PHAS1247,56,P
PJWD0,75,PHAS1228,88,PHAS1246,86,PHAS1202,76,PHAS1245,76,PHAS1240,74,PHAS1241,68,PHAS1224,67,PHAS1247,61,P
PLWJ2,78,PHAS1246,97,PHAS1228,96,PHAS1245,93,PHAS1202,89,PHAS1224,83,PHAS1247,82,PHAS1240,79,PHAS1241,73,P
PLYB8,82,PHAS1202,79,PHAS1240,78,PHAS1228,74,PHAS1241,74,PHAS1246,72,PHAS1224,58,PHAS1245,56,PHAS1247,54,P
PMHS7,75,PHAS1246,89,PHAS1228,88,PHAS1130,83,PHAS1245,83,PHAS1202,80,PHAS1240,71,PHAS1224,66,PHAS1247,58,P
PNKB0,68,PHAS1202,89,PHAS1228,86,PHAS1245,86,PHAS1246,83,PHAS1240,74,PHAS1241,74,PHAS1224,64,PHAS1247,62,P
PPJK0,58,PHAS1246,62,PHAS1240,60,PHAS1228,53,PHAS1241,49,PHAS1202,48,PHAS1245,43,PHAS1224,30,PHAS1247,23,>?
PPKS1,61,PHAS1240,67,PHAS1130,66,PHAS1202,63,PHAS1246,57,PHAS1228,50,PHAS1245,50,PHAS1247,37,PHAS1224,26,>?
PPMB6,0,PHAS1202,0,PHAS1224,0,PHAS1228,0,PHAS1240,0,PHAS1245,0,PHAS1246,0,PHAS1247,0,PHAS1449,0,>>
PPPS6,77,PHAS1246,88,PHAS1228,81,PHAS1241,78,PHAS1202,77,PHAS1245,75,PHAS1240,71,PHAS1224,65,PHAS1247,55,P
PQBB6,77,PHAS1202,70,PHAS1240,67,PHAS1246,64,PHAS1130,63,PHAS1228,61,PHAS1245,54,PHAS1247,53,PHAS1224,41,P
PRQK1,72,PHAS1228,76,PHAS1241,67,PHAS1240,63,PHAS1246,60,PHAS1245,53,PHAS1202,47,PHAS1247,42,PHAS1224,40,P
